2020-03-07 05:14:18 	nullroot 	wei592628 	I am null_whoami
2020-03-24 09:23:15 	wei592628 	nullroot 	Brothers, can you ask for the gmail email address? What is the probability of success
2020-03-24 09:30:45 	nullroot 	wei592628 	Not much done
2020-03-24 09:54:59 	wei592628 	nullroot 	I saw this technology in our introduction before, mainly for Google Mail
2020-03-24 09:55:18 	nullroot 	wei592628 	Yeah, but that’s a product
2020-03-24 10:03:07 	wei592628 	nullroot 	
2020-04-10 07:54:03 	wei592628 	nullroot 	Mr. Zhou, does your company make WhatsApp products?
2020-04-10 07:54:41 	nullroot 	wei592628 	Hello Mr. Wei, this is not available
2020-04-10 07:55:24 	wei592628 	nullroot 	Do you know if there are any companies in China that make this kind of software?
2020-04-10 07:57:52 	nullroot 	wei592628 	Never heard of it
2020-04-10 07:59:20 	wei592628 	nullroot 	👌Thank you, brother, are you still in Chengdu?
2020-04-10 07:59:46 	nullroot 	wei592628 	Hmm
2020-04-10 08:00:09 	wei592628 	nullroot 	Beijing has not lifted the ban yet, we cannot go out on business, we will contact you when we can go out
2020-04-10 08:03:36 	nullroot 	wei592628 	Okay
2020-05-22 06:57:59 	wei592628 	nullroot 	Brother, are you in Chengdu in June?
2020-05-22 07:06:50 	nullroot 	wei592628 	What it looks like in Chengdu in mid-June
2020-05-22 07:07:03 	nullroot 	wei592628 	Can you come out and hang out?
2020-05-22 07:07:48 	wei592628 	nullroot 	You should be able to go out after the two sessions. If you can go, bring your leaders to contact you directly and try to make a project this year. Take your time in the future
2020 -05-22 07:11:43 	wei592628 	nullroot 	When the time comes, you will introduce more products that reflect the company’s unique capabilities
2020-05-22 07:11:58 	nullroot 	wei592628 	Okay, come and eat hot pot
2020-05-22 07:12:41 	wei592628 	nullroot 	😄, the main thing is to get things done, help each other, don’t rush for hot pot, I have been embarrassed because the epidemic has not gone away
2020-05-22 07:12 :51 	nullroot 	wei592628 	[Sneaky smile]
2020-05-22 07:13:28 	wei592628 	nullroot 	One more thing, I have a push number that involves clues to the two sessions. Can you help me check it out first?
2020-05-22 07:13:43 	nullroot 	wei592628 	It may not be possible
2020-05-22 07:14:28 	wei592628 	nullroot 	That doesn't matter, because the report to the leader also said that there is a 50% probability of success [呲ya]
2020-05-22 07:14:39 	wei592628 	nullroot 	Already quite 🐂
2020-05-22 07:14:41 	nullroot 	wei592628 	Not that high
2020-05-22 07:14:46 	wei592628 	nullroot 	Leading the country [holding fists]
2020-05-22 07:22:48 	wei592628 	nullroot 	
2020-05-22 08:28:50 	wei592628 	nullroot 	@dr_allah_nizar
2020-05-22 08:29:06 	wei592628 	nullroot 	Please check this account
2020-05-22 08:29:11 	wei592628 	nullroot 	Thank you, brother
2020-05-22 09:58:29 	nullroot 	wei592628 	Not found
2020-05-22 09:58:51 	wei592628 	nullroot 	Received, thank you
2021-05-27 06:40:45 	wxid_hlmnhsq64tt722 	wxid_zb45i0rc71yk21 	bz.zip
2021-05-27 06:40 :47 	wxid_hlmnhsq64tt722 	wxid_zb45i0rc71yk21 	Wanli
2021-05-27 06:40:52 	wxid_hlmnhsq64tt722 	wxid_zb45i0rc71yk21 	Bangzi wj
2021-05-27 06:49:26 	wxid_zb45i0rc71yk21 	wxid_hlmnhsq64tt722 	ok
2021-05-27 08:32:00 	wxid_hlmnhsq64tt722 	wxid_zb45i0rc71yk21 	20 years?
2021-05-27 08:48:04 	wxid_hlmnhsq64tt722 	wxid_zb45i0rc71yk21 	Choose a new one. It doesn’t have to be from Liaocheng. It can be from anywhere
2021-05-27 08:58:51 	wxid_zb45i0rc71yk21 	wxid_hlmnhsq64tt722 	2bankinfo-5.zip
2021-05-27 08 :59:00 	wxid_zb45i0rc71yk21 	wxid_hlmnhsq64tt722 	All the cards in Liaocheng are in this table
2021-05-27 08:59:43 	wxid_zb45i0rc71yk21 	wxid_hlmnhsq64tt722 	We cannot judge the activity of the card. The card given to you last time is the card that the user has logged in to recently
2021-06-02 01:15:15 	wxid_zb45i0rc71yk21 	wxid_hlmnhsq64tt722 	Brother Pei, how big can that Han thing be? How many machines are there in total?
2021-06-02 01:42:04 	wxid_hlmnhsq64tt722 	wxid_zb45i0rc71yk21 	Let me ask
2021-06-02 05:24:37 	wxid_zb45i0rc71yk21 	wxid_hlmnhsq64tt722 	How about
2021-06-02 13:35:14 	wxid_hlmnhsq64tt722 	wxid_zb45i0rc71yk21 	Hey, I have been decorating these two days [face covering]
2021-06-02 13:35:48 	wxid_hlmnhsq64tt722 	wxid_zb45i0rc71yk21 	He just controls the mail server
2021-06-02 13:36:19 	wxid_hlmnhsq64tt722 	wxid_zb45i0rc71yk21 	And not through credentials
2021-06-02 13:36:34 	wxid_zb45i0rc71yk21 	wxid_hlmnhsq64tt722 	Oh oh
2021-06-02 13:36:42 	wxid_zb45i0rc71yk21 	wxid_hlmnhsq64tt722 	Then it can’t be done,
2021-06-02 13:36:56 	wxid_zb45i0rc71yk21 	wxid_hlmnhsq64tt722 	The other party’s requirements are a bit high
2021-06-02 13:37:24 	wxid_zb45i0rc71yk21 	wxid_hlmnhsq64tt722 	We have been communicating today and they want permission
2021-06-02 13:37:47 	wxid_hlmnhsq64tt722 	wxid_zb45i0rc71yk21 	Permissions Let me see if it can be obtained over there
2021-06-10 04:15:59 	wxid_zb45i0rc71yk21 	wxid_hlmnhsq64tt722 	Brother Pei, is it inconvenient to call?
2021-06-10 04:18:10 	wxid_hlmnhsq64tt722 	wxid_zb45i0rc71yk21 	
2021-06-10 04:18:19 	wxid_zb45i0rc71yk21 	wxid_hlmnhsq64tt722 	
2021-06-10 04:19:45 	wxid_hlmnhsq64tt722 	wxid_zb45i0rc71yk21 	👌
2021-06-11 02:29:09 	wxid_zb45i0rc71yk21 	wxid_hlmnhsq64tt722 	Brother Pei, can you handle those mailboxes today?
2021-06-11 02:29:36 	wxid_zb45i0rc71yk21 	wxid_hlmnhsq64tt722 	The customer is a little anxious and wants to take a look before the holiday
2021-06-11 03:00:14 	wxid_hlmnhsq64tt722 	wxid_zb45i0rc71yk21 	Estimated hanging
2021-06-11 03:00:58 	wxid_zb45i0rc71yk21 	wxid_hlmnhsq64tt722 	[tears][tears]
2021-06-11 03:01:18 	wxid_zb45i0rc71yk21 	wxid_hlmnhsq64tt722 	Then follow your friend's pace, just give it to me
2021-06-11 06:33:13 	wxid_hlmnhsq64tt722 	wxid_zb45i0rc71yk21 	Do you need to sign a contract or issue an invoice?
2021-06-11 06:35:02 	wxid_zb45i0rc71yk21 	wxid_hlmnhsq64tt722 	Special fee, just come out
2021-06-11 06:35:35 	wxid_hlmnhsq64tt722 	wxid_zb45i0rc71yk21 	Hmm
2021-06-15 02:10:27 	wxid_zb45i0rc71yk21 	wxid_hlmnhsq64tt722 	Brother Pei, what happened to those boxes last time?
2021-06-15 02:10:53 	wxid_hlmnhsq64tt722 	wxid_zb45i0rc71yk21 	Should send it to me today
2021-06-15 02:11:04 	wxid_zb45i0rc71yk21 	wxid_hlmnhsq64tt722 	Yes,
2021-06-15 02:11:11 	wxid_zb45i0rc71yk21 	wxid_hlmnhsq64tt722 	[Hold fist][Hold fist][Hold fist]
2021-06-15 02:11:26 	wxid_zb45i0rc71yk21 	wxid_hlmnhsq64tt722 	Customer urges me to cry once a day these days
2021-06-15 02:11:54 	wxid_hlmnhsq64tt722 	wxid_zb45i0rc71yk21 	He thinks this is Baidu Cloud download data [face covering]
2021-06-16 04:21:56 	wxid_hlmnhsq64tt722 	wxid_zb45i0rc71yk21 	Wait a minute, it’s being picked up over there
2021-06-16 04:23:40 	wxid_zb45i0rc71yk21 	wxid_hlmnhsq64tt722 	Okay
2021-06-17 09:17:51 	wxid_zb45i0rc71yk21 	wxid_hlmnhsq64tt722 	Brother Pei, what’s going on?
2021-06-17 09:18:04 	wxid_zb45i0rc71yk21 	wxid_hlmnhsq64tt722 	I can't hold on to my customers anymore [laughing through tears]
2021-06-17 09:19:14 	wxid_zb45i0rc71yk21 	wxid_hlmnhsq64tt722 	It’s okay to give two or three first, mainly G7 recently. They were in a hurry and bought it quickly if it was valuable
2021-06-17 09:23:19 	wxid_hlmnhsq64tt722 	wxid_zb45i0rc71yk21 	Hey, my day, mmp over there
2021-06-17 09:26:42 	wxid_hlmnhsq64tt722 	wxid_zb45i0rc71yk21 	
2021-06-17 09:26:56 	wxid_hlmnhsq64tt722 	wxid_zb45i0rc71yk21 	I asked just after four o'clock
2021-06-17 09:27:25 	wxid_zb45i0rc71yk21 	wxid_hlmnhsq64tt722 	Hey, this is a bit annoying
2021-06-17 09:27:43 	wxid_zb45i0rc71yk21 	wxid_hlmnhsq64tt722 	The dragging customers are now a little emotional [crying][tears]
2021-06-17 09:28:02 	wxid_hlmnhsq64tt722 	wxid_zb45i0rc71yk21 	Really mmp this is not something of my own team in the first place
2021-06-17 09:28:27 	wxid_hlmnhsq64tt722 	wxid_zb45i0rc71yk21 	Expensive and slow My own cost is 2-3w
2021-06-17 09:38:44 	wxid_zb45i0rc71yk21 	wxid_hlmnhsq64tt722 	This efficiency is indeed too low
2021-06-18 06:30:03 	wxid_hlmnhsq64tt722 	wxid_zb45i0rc71yk21 	
2021-06-18 06:33:42 	wxid_zb45i0rc71yk21 	wxid_hlmnhsq64tt722 	[OK][OK]
2021-06-21 10:59:25 	wxid_zb45i0rc71yk21 	wxid_hlmnhsq64tt722 	Brother Pei, can the data come over today?
2021-06-21 13:14:08 	wxid_hlmnhsq64tt722 	wxid_zb45i0rc71yk21 	He said before 12 o'clock
2021-06-21 13:14:24 	wxid_zb45i0rc71yk21 	wxid_hlmnhsq64tt722 	Needed
2021-06-21 13:14:45 	wxid_zb45i0rc71yk21 	wxid_hlmnhsq64tt722 	He sent it to you and forwarded it to me. I don’t even dare to answer customer calls today
2021-06-21 13:15:11 	wxid_hlmnhsq64tt722 	wxid_zb45i0rc71yk21 	Hey...
2021-06-21 13:16:14 	wxid_hlmnhsq64tt722 	wxid_zb45i0rc71yk21 	I just finished my drink now
2021-06-21 13:16:24 	wxid_zb45i0rc71yk21 	wxid_hlmnhsq64tt722 	Are you on a business trip?
2021-06-21 13:16:30 	wxid_hlmnhsq64tt722 	wxid_zb45i0rc71yk21 	I was on a business trip in Zhoushan, and Liu Rentou was also on a business trip in Zhoushan
2021-06-21 13:16:41 	wxid_zb45i0rc71yk21 	wxid_hlmnhsq64tt722 	Hahaha
2021-06-21 13:16:50 	wxid_zb45i0rc71yk21 	wxid_hlmnhsq64tt722 	He is now based in Hangzhou
2021-06-21 13:16:54 	wxid_hlmnhsq64tt722 	wxid_zb45i0rc71yk21 	Yes
2021-06-21 13:16:57 	wxid_hlmnhsq64tt722 	wxid_zb45i0rc71yk21 	Sexy criticism
2021-06-21 13:17:04 	wxid_zb45i0rc71yk21 	wxid_hlmnhsq64tt722 	You will definitely be exposed to more opportunities in the future
2021-06-21 13:17:07 	wxid_hlmnhsq64tt722 	wxid_zb45i0rc71yk21 	Sold it to a woman
2021-06-21 13:17:14 	wxid_zb45i0rc71yk21 	wxid_hlmnhsq64tt722 	I cheated him
2021-06-21 13:17:16 	wxid_zb45i0rc71yk21 	wxid_hlmnhsq64tt722 	Hahaha
2021-06-21 13:17:26 	wxid_hlmnhsq64tt722 	wxid_zb45i0rc71yk21 	Why did you cheat him?
2021-06-21 13:17:50 	wxid_zb45i0rc71yk21 	wxid_hlmnhsq64tt722 	Originally I had an agreement with Qi Anxin, so I jumped over
2021-06-21 13:18:09 	wxid_zb45i0rc71yk21 	wxid_hlmnhsq64tt722 	Didn’t I call you in the middle of the night to talk about whether to stay or go?
2021-06-21 13:18:26 	wxid_zb45i0rc71yk21 	wxid_hlmnhsq64tt722 	I think what you said makes sense later. I rejected Qi Anxin
2021-06-21 13:18:40 	wxid_zb45i0rc71yk21 	wxid_hlmnhsq64tt722 	Then pushed Liu Rentao over
2021-06-21 13:19:04 	wxid_hlmnhsq64tt722 	wxid_zb45i0rc71yk21 	So he wants to follow you?
2021-06-21 13:19:14 	wxid_hlmnhsq64tt722 	wxid_zb45i0rc71yk21 	You didn’t go?
2021-06-21 13:20:12 	wxid_zb45i0rc71yk21 	wxid_hlmnhsq64tt722 	Originally, he was asked to go to Qi'anxin Chongqing to take my position. The pre-sales boss of Qi Anxin is relatively familiar with me. He said that there is someone in Chongqing, but there is still a shortage of one in Hangzhou. Let me recommend another one for him,
2021-06-21 13:20:47 	wxid_zb45i0rc71yk21 	wxid_hlmnhsq64tt722 	I told him that Liu Rentao should go to Hangzhou and that Chongqing would be vacant first. If things don’t go well behind me, I’ll jump over there
2021-06-21 13:21:07 	wxid_zb45i0rc71yk21 	wxid_hlmnhsq64tt722 	Originally I was joking with the boss Qi Anxin, but I didn’t expect him to actually do this
2021-06-21 13:21:37 	wxid_hlmnhsq64tt722 	wxid_zb45i0rc71yk21 	I just asked why Liu Rentao went to Hangzhou to stay in Hangzhou
2021-06-21 13:21:51 	wxid_hlmnhsq64tt722 	wxid_zb45i0rc71yk21 	I said what operation is this
2021-06-21 13:22:07 	wxid_zb45i0rc71yk21 	wxid_hlmnhsq64tt722 	So I tricked him
2021-06-21 13:22:09 	wxid_hlmnhsq64tt722 	wxid_zb45i0rc71yk21 	I thought he came to Zhoushan from Chengdu
2021-06-21 13:22:17 	wxid_hlmnhsq64tt722 	wxid_zb45i0rc71yk21 	As a result, he came from Hangzhou
2021-06-21 13:22:41 	wxid_zb45i0rc71yk21 	wxid_hlmnhsq64tt722 	He is based in Hangzhou and is responsible for Zhejiang, Fujian and, it seems, Shanghai
2021-06-21 13:23:16 	wxid_hlmnhsq64tt722 	wxid_zb45i0rc71yk21 	How cool. I invited him and Qi Anxin to have a meal with a salesperson tonight.
2021-06-21 13:24:08 	wxid_zb45i0rc71yk21 	wxid_hlmnhsq64tt722 	I heard that the salesperson in that area is a girl
2021-06-21 13:25:31 	wxid_hlmnhsq64tt722 	wxid_zb45i0rc71yk21 	Hmm
2021-06-21 13:27:15 	wxid_zb45i0rc71yk21 	wxid_hlmnhsq64tt722 	I plan to join Qi’anxin in sales after this year
2021-06-21 13:27:24 	wxid_zb45i0rc71yk21 	wxid_hlmnhsq64tt722 	An Xun, I feel like I really have no future
2021-06-21 13:27:37 	wxid_hlmnhsq64tt722 	wxid_zb45i0rc71yk21 	Yes!
2021-06-21 13:27:44 	wxid_zb45i0rc71yk21 	wxid_hlmnhsq64tt722 	I am not on a business trip now, and I have nothing to do all day long. Sooner or later I will waste my time if I continue like this
2021-06-21 13:27:49 	wxid_zb45i0rc71yk21 	wxid_hlmnhsq64tt722 	Abandoned
2021-06-21 13:28:00 	wxid_hlmnhsq64tt722 	wxid_zb45i0rc71yk21 	There is still nothing wrong with sales
2021-06-21 13:28:11 	wxid_zb45i0rc71yk21 	wxid_hlmnhsq64tt722 	This year I mainly finish the current projects first
2021-06-21 13:28:15 	wxid_hlmnhsq64tt722 	wxid_zb45i0rc71yk21 	You also have business accumulation
2021-06-21 13:28:53 	wxid_zb45i0rc71yk21 	wxid_hlmnhsq64tt722 	The first is that the customer has an explanation. The next step is to accumulate some project experience for yourself. After all, after you have operated million-level projects, you will be more confident when going out
2021-06-21 13:29:28 	wxid_hlmnhsq64tt722 	wxid_zb45i0rc71yk21 	Yes
2021-06-21 13:29:59 	wxid_zb45i0rc71yk21 	wxid_hlmnhsq64tt722 	I don’t expect to make money from several projects in Anxun, just accumulate some experience
2021-06-21 13:30:17 	wxid_zb45i0rc71yk21 	wxid_hlmnhsq64tt722 	After all, I am no longer an intern when I go out. I don’t understand anything and have no capital to talk to others.
2021-06-22 08:21:12 	wxid_zb45i0rc71yk21 	wxid_hlmnhsq64tt722 	Has Han’s authority been lost?
2021-06-22 08:21:23 	wxid_hlmnhsq64tt722 	wxid_zb45i0rc71yk21 	Something wrong
2021-06-22 08:21:29 	wxid_hlmnhsq64tt722 	wxid_zb45i0rc71yk21 	Waiting for news
2021-06-22 08:21:30 	wxid_hlmnhsq64tt722 	wxid_zb45i0rc71yk21 	Harm
2021-06-22 08:22:12 	wxid_hlmnhsq64tt722 	wxid_zb45i0rc71yk21 	Please tell them there is a problem with permissions first
2021-06-22 08:22:14 	wxid_zb45i0rc71yk21 	wxid_hlmnhsq64tt722 	The customer said that there is news on the market in the past few days that the permission of this thing has been lost
2021-06-22 08:23:03 	wxid_hlmnhsq64tt722 	wxid_zb45i0rc71yk21 	He has already picked it up but didn’t give it to us
2021-06-22 08:23:15 	wxid_zb45i0rc71yk21 	wxid_hlmnhsq64tt722 	Customers are asking about the news we released [laughing through tears]
2021-06-22 08:23:16 	wxid_hlmnhsq64tt722 	wxid_zb45i0rc71yk21 	9 boxes, one repetition, you have a total of 8
2021-06-22 08:23:31 	wxid_zb45i0rc71yk21 	wxid_hlmnhsq64tt722 	Don’t give me so much yet
2021-06-22 08:23:45 	wxid_zb45i0rc71yk21 	wxid_hlmnhsq64tt722 	Give me one or two, I will give them to the customer first
2021-06-22 08:24:15 	wxid_zb45i0rc71yk21 	wxid_hlmnhsq64tt722 	Avoid prostitution for nothing or delay it for several days. I'm afraid that customers will betray me
2021-06-22 08:24:28 	wxid_zb45i0rc71yk21 	wxid_hlmnhsq64tt722 	If you are prostituted for free again, you will lose a lot
2021-06-22 08:24:32 	wxid_hlmnhsq64tt722 	wxid_zb45i0rc71yk21 	In the past, I had this thing here in March-April, and there were some situations in the middle
2021-06-22 08:25:24 	wxid_zb45i0rc71yk21 	wxid_hlmnhsq64tt722 	OK
2021-06-22 08:26:09 	wxid_hlmnhsq64tt722 	wxid_zb45i0rc71yk21 	Wait for my news. It’s a bit of a trap! Can't explain clearly in a few words
2021-06-22 08:26:34 	wxid_zb45i0rc71yk21 	wxid_hlmnhsq64tt722 	Needed
